year,kilometers_driven,fuel_type,transmission,owner_type,mileage,engine,power,seats,price
2016,33016,0,1,3,22.54,1396.0,88.73,5.0,7683.679192372406
2012,48000,0,1,3,23.59,1364.0,67.05,5.0,5888.9512058328655
2014,72022,0,1,3,21.43,1364.0,87.2,5.0,10353.337072349972
2014,34000,0,0,3,20.7,1496.0,113.98,5.0,24677.509814918674
2014,69000,0,1,3,20.14,1498.0,88.8,5.0,5821.648906337634
2009,108000,1,0,3,13.7,1798.0,157.75,5.0,4879.416713404374
2013,34700,0,0,3,10.0,2148.0,170.0,5.0,27481.772293886705
2015,79000,0,1,3,17.8,1248.0,75.0,5.0,6449.803701626472
2016,58197,1,0,3,18.0,1497.0,117.3,5.0,10308.468872686482
2008,66000,1,0,2,8.45,2979.0,321.0,5.0,12058.328659562534
2009,60000,1,0,3,19.2,1197.0,80.0,5.0,3353.8979248457654
2014,57000,0,1,3,26.59,1248.0,74.0,5.0,4363.432417274256
2018,45555,0,1,3,26.0,1498.0,98.6,5.0,13157.599551318002
2016,55137,1,1,3,14.0,796.0,35.0,5.0,3488.502523836231
2014,93325,0,1,2,17.2,1968.0,138.1,5.0,16208.63712843522
2018,38000,0,1,3,24.52,1248.0,88.5,7.0,9758.833426808747
2016,57738,0,1,3,24.0,1120.0,70.0,5.0,5653.393157599551
2017,38282,0,1,3,28.09,1248.0,88.5,5.0,9534.492428491307
2014,64000,0,0,3,19.27,2143.0,170.0,5.0,17554.683118339875
2015,32000,0,1,3,20.5,1248.0,91.72,5.0,6337.63320246775
2010,83000,1,0,3,10.93,2497.0,204.0,5.0,18508.132361189007
2012,67200,1,1,3,15.04,1598.0,103.6,5.0,4374.649467190129
2013,62655,0,0,3,18.88,1995.0,184.0,5.0,16264.722378014581
2015,16900,0,0,3,14.69,2993.0,258.0,5.0,49355.01962983735
2017,8471,1,1,3,18.9,1197.0,81.86,5.0,5608.5249579360625
2016,69000,0,0,3,11.36,2755.0,171.5,7.0,22153.673583847445
2017,30090,0,0,3,19.6,1461.0,108.45,5.0,12832.305103757712
2011,120000,0,1,3,18.0,1248.0,75.0,5.0,1962.983735277622
2016,35939,1,1,3,12.3,1796.0,185.0,5.0,34122.265844083006
2013,116694,0,1,3,15.1,2179.0,140.0,7.0,10734.716769489623
2016,40448,0,1,3,15.96,2523.0,62.1,7.0,3925.967470555244
2018,64456,0,1,3,24.3,1248.0,88.5,5.0,11733.034212002243
2014,52782,0,1,3,20.5,1248.0,91.72,5.0,5440.26920919798
2016,51672,1,1,3,19.5,1199.0,88.76,5.0,6371.284352215367
2015,56073,1,0,3,13.7,1798.0,157.75,5.0,14862.591138530566
2011,65000,0,0,3,14.74,2993.0,270.9,5.0,17947.2798653954
2013,79000,1,1,3,18.9,998.0,67.1,5.0,3365.1149747616373
2010,70200,1,0,3,14.53,1798.0,138.1,5.0,5608.5249579360625
2016,42000,1,1,3,16.1,1197.0,85.0,5.0,5328.0987100392595
2014,62000,1,1,3,16.47,1198.0,74.0,5.0,6001.121704991587
2017,20000,1,1,3,18.9,1197.0,81.86,5.0,6707.795849691531
2011,80000,0,1,1,21.5,1248.0,88.8,5.0,3925.967470555244
2018,50234,1,1,3,18.9,1197.0,81.86,5.0,5350.532809871003
2016,50003,1,1,3,21.4,1197.0,83.1,5.0,6113.292204150308
2018,1000,1,0,3,20.3,1199.0,84.0,5.0,7683.679192372406
2016,54897,0,0,3,26.59,1248.0,74.0,5.0,8188.446438586651
2007,108995,1,1,3,15.3,1193.0,65.3,5.0,1402.1312394840156
2015,73000,0,1,3,22.7,1598.0,118.0,5.0,9254.066180594504
2008,65000,1,1,3,16.1,1298.0,88.2,5.0,3039.820527201346
2016,32000,1,1,3,19.1,1197.0,82.0,5.0,4038.137969713965
2010,65000,1,1,3,18.5,1197.0,80.0,5.0,3365.1149747616373
2016,21600,1,0,3,23.1,998.0,67.04,5.0,5215.928210880539
2010,39000,0,0,3,14.84,2143.0,170.0,5.0,10656.197420078519
2011,58075,1,1,3,17.5,1298.0,85.8,5.0,3309.0297251822767
2011,58000,1,1,3,15.04,1598.0,103.6,5.0,3365.1149747616373
2015,58000,0,1,3,25.2,1248.0,74.0,5.0,6674.144699943914
2008,89000,1,0,3,14.53,1798.0,138.1,5.0,4486.81996634885
2008,72000,1,1,3,13.5,1799.0,130.0,5.0,2804.2624789680312
2017,1800,1,0,3,16.05,1499.0,110.4,5.0,12753.785754346605
2013,46230,1,1,3,19.81,1086.0,68.05,5.0,3477.2854739203585
2014,86925,0,0,3,11.2,2400.0,215.0,5.0,19270.89175546831
2018,5000,1,1,3,18.6,1197.0,81.83,5.0,7291.082445316882
2014,66000,0,1,3,26.0,1498.0,98.6,5.0,6393.718452047111
2013,119000,0,1,3,12.99,2494.0,100.0,8.0,8973.6399326977
2016,45000,1,1,3,25.17,799.0,53.3,5.0,2916.4329781267525
2009,66149,1,1,3,19.0,998.0,66.1,5.0,2748.177229388671
2014,42070,1,0,3,14.8,1595.0,120.7,5.0,12978.126752664048
2012,35503,1,1,3,18.9,998.0,67.1,5.0,2579.9214806505884
2016,41460,0,1,3,25.2,1248.0,74.0,5.0,6618.059450364553
2015,40600,1,0,3,17.0,1591.0,121.3,5.0,8076.27593942793
2013,87000,0,0,3,22.0,1582.0,126.2,5.0,6618.059450364553
2014,30000,1,1,2,16.8,1497.0,116.3,5.0,6730.229949523275
2010,27089,1,1,3,16.0,1086.0,66.7,5.0,2187.3247335950646
2016,53702,0,1,3,23.59,1364.0,67.04,5.0,7347.167694896242
2015,51000,0,0,3,27.03,1969.0,190.0,5.0,28042.62478968031
2012,36542,0,1,3,20.0,1399.0,68.05,5.0,2972.518227706113
2017,15000,0,0,3,13.0,2987.0,265.0,5.0,77958.49691531126
2012,65000,0,0,3,22.69,1995.0,190.0,5.0,15703.869882220975
2014,32000,1,1,2,22.74,796.0,47.3,5.0,2355.5804823331464
2017,24393,0,1,3,13.68,2393.0,147.8,7.0,22882.78182837913
2019,1000,1,1,3,18.78,999.0,75.0,5.0,6371.284352215367
2014,28238,1,1,3,13.24,1598.0,102.5,5.0,6225.462703309029
2013,59000,0,1,3,13.5,2477.0,175.56,7.0,14301.73864273696
2012,92000,1,1,2,14.8,1799.0,130.2,5.0,3757.711721817162
2013,56840,1,1,3,22.74,796.0,47.3,5.0,1738.6427369601793
2013,62746,0,1,2,20.54,1598.0,103.6,5.0,6618.059450364553
2012,96000,0,0,3,12.35,2179.0,187.74,5.0,21289.960740325292
2014,24000,1,1,3,13.7,1997.0,153.86,5.0,12910.824453168816
2016,54000,0,1,3,20.77,1248.0,88.76,7.0,8693.213684800898
2016,90000,0,1,3,12.99,2494.0,100.6,7.0,15591.699383062254
2010,40000,1,1,3,15.0,1368.0,90.0,5.0,1514.3017386427368
2015,65938,0,0,2,12.07,2967.0,241.4,7.0,42624.789680314076
2017,16100,1,0,3,17.1,1591.0,121.4,5.0,13011.777902411664
2017,3600,0,0,3,21.5,1498.0,108.5,5.0,13740.886146943352
2011,52000,1,1,3,17.0,1497.0,118.0,5.0,4262.478968031407
2014,54000,0,1,3,20.0,1399.0,68.05,5.0,3645.541222658441
2016,15399,1,1,3,18.7,1199.0,88.7,5.0,7178.91194615816
2012,75000,1,1,2,16.47,1198.0,73.9,5.0,4430.73471676949
2010,76752,1,1,3,17.4,1497.0,117.3,5.0,4004.486819966349
2005,56000,1,1,2,17.7,1497.0,78.0,5.0,1402.1312394840156
2013,46125,1,0,2,12.0,2354.0,187.4,5.0,14021.312394840155
2014,35000,0,0,2,18.12,1995.0,190.0,5.0,25799.214806505886
2003,80000,0,1,1,12.8,1489.0,35.5,5.0,1514.3017386427368
2012,62729,0,1,3,12.05,2179.0,120.0,8.0,7089.175546831183
2012,34000,0,1,3,20.54,1598.0,103.6,5.0,3813.7969713965226
1999,70000,1,1,2,17.3,993.0,60.0,5.0,863.7128435221537
2009,32000,1,1,3,16.1,796.0,37.0,4.0,1009.5344924284913
2017,21000,1,0,3,14.28,1798.0,138.03,5.0,20190.689848569826
2013,49000,1,0,3,14.59,1997.0,245.0,5.0,21312.394840157038
2007,40000,1,1,1,13.8,1299.0,70.0,5.0,1233.8754907459338
2012,78000,1,1,2,18.6,1199.0,79.4,5.0,2243.409983174425
2012,52000,0,1,3,21.43,1364.0,86.79,5.0,7291.082445316882
2014,65213,0,1,3,16.0,2179.0,140.0,7.0,10600.112170499156
2017,36884,0,0,3,13.0,2143.0,204.0,5.0,36174.985978687604
2009,62500,1,1,3,20.36,1197.0,78.9,5.0,2355.5804823331464
2015,68000,1,0,2,14.28,1798.0,138.03,5.0,10936.623667975322
2014,40748,1,1,3,14.53,1798.0,138.0,5.0,7066.741446999438
2013,60000,0,0,3,17.32,1968.0,184.0,5.0,23555.804823331462
2014,12400,0,1,3,21.9,1396.0,88.8,5.0,5215.928210880539
2013,87000,0,0,2,19.27,2143.0,167.62,5.0,19068.984856982614
2013,20248,0,1,3,21.1,1248.0,73.9,5.0,4879.416713404374
2017,52383,0,1,3,19.67,1582.0,126.2,5.0,16623.66797532249
2018,1000,0,0,3,13.6,1999.0,177.0,5.0,44868.1996634885
2016,85000,0,1,3,14.95,2489.0,93.7,7.0,6898.485698261356
2014,47000,0,1,3,12.99,2494.0,100.6,7.0,12619.18115535614
2018,17585,1,0,3,19.16,2494.0,157.7,5.0,35894.5597307908
2018,32496,0,0,3,13.22,2967.0,241.4,5.0,51172.18171620864
2017,34613,0,1,3,28.4,1248.0,74.0,5.0,6999.439147504206
2014,54000,1,1,2,16.1,1197.0,85.0,5.0,5047.672462142456
2015,16900,1,1,3,20.36,1197.0,78.9,5.0,4340.998317442512
2013,62334,1,1,3,20.36,1197.0,78.9,5.0,3084.6887268648343
2018,23714,1,1,3,21.4,1197.0,83.1,5.0,7369.601794727986
2010,52325,1,1,3,16.36,1495.0,93.7,5.0,2243.409983174425
2012,50000,1,1,3,19.4,1198.0,86.8,5.0,4094.2232192933257
2016,55746,0,1,3,22.9,1248.0,74.0,5.0,7795.849691531127
2014,54000,1,1,3,20.14,1197.0,81.86,5.0,6169.377453729669
2013,43000,0,1,3,16.0,2179.0,140.0,7.0,7851.934941110488
2014,40000,0,0,3,13.0,2143.0,201.1,5.0,26920.9197980931
2010,125000,0,0,2,0.0,2179.0,115.0,5.0,12338.754907459337
2016,51944,0,0,3,19.27,2143.0,170.0,5.0,36455.412226584405
2015,46950,0,1,3,21.27,1396.0,88.76,5.0,7234.997195737521
2015,23000,0,0,3,19.3,1968.0,141.0,5.0,17666.853617498597
2014,54546,1,1,3,17.0,1497.0,118.0,5.0,6169.377453729669
2015,51535,0,0,3,12.55,2982.0,168.5,7.0,21346.045989904655
2013,45000,0,0,3,17.32,1968.0,184.0,5.0,17106.00112170499
2012,46004,1,1,3,20.92,998.0,67.1,5.0,2692.09197980931
2011,124000,0,1,3,23.03,1396.0,69.0,5.0,2579.9214806505884
2014,77395,0,0,3,17.11,1968.0,174.33,5.0,16096.4666292765
2018,22974,1,0,3,18.0,1497.0,117.3,5.0,13426.808749298934
2015,65012,0,1,3,14.24,2755.0,174.5,7.0,21200.224340998313
2017,17125,1,1,3,18.9,1197.0,82.0,5.0,6057.206954570947
2015,90413,1,1,3,15.1,1196.0,73.0,7.0,3309.0297251822767
2013,37000,1,1,3,16.47,1198.0,73.9,5.0,5720.695457094783
2006,65000,1,1,3,18.9,1061.0,67.0,5.0,1682.5574873808187
2011,66000,1,1,3,17.0,1497.0,118.0,5.0,5496.354458777342
2010,86000,1,1,3,14.8,1799.0,130.2,5.0,3252.944475602916
2005,98437,1,1,3,13.0,1493.0,100.0,5.0,1289.9607403252942
2010,18000,1,1,3,18.5,1197.0,80.0,5.0,2579.9214806505884
2018,35070,0,1,3,24.0,1120.0,70.0,5.0,6719.012899607403
2011,42000,1,0,1,14.4,1598.0,103.6,5.0,3813.7969713965226
2009,40000,1,1,3,20.36,1197.0,78.9,5.0,1906.8984856982613
2009,43000,1,1,3,17.0,1197.0,80.0,5.0,2232.192933258553
2012,65000,1,1,3,18.6,1199.0,79.4,5.0,2804.2624789680312
2013,74000,0,1,3,22.07,1199.0,73.9,5.0,5440.26920919798
2010,51192,1,1,3,15.6,1196.0,70.0,5.0,2972.518227706113
2014,14262,1,0,3,9.9,1984.0,207.8,2.0,30678.63151991026
2015,66339,0,1,2,25.1,1498.0,98.6,5.0,7739.7644419517665
2013,90200,0,1,3,20.0,1399.0,68.05,5.0,3925.967470555244
2015,57854,0,1,3,12.99,2494.0,100.6,7.0,14021.312394840155
2017,32000,1,0,3,19.12,1373.0,91.1,5.0,10319.685922602353
2015,29631,1,0,3,18.9,1197.0,82.0,5.0,5496.354458777342
2009,55005,1,1,3,12.8,1497.0,117.3,5.0,3589.45597307908
2014,54173,1,1,3,18.88,999.0,123.24,5.0,6225.462703309029
2014,50000,1,0,3,14.7,1798.0,177.6,5.0,15143.01738642737
2010,145000,0,1,3,20.4,1248.0,91.7,5.0,2916.4329781267525
2015,78000,1,1,3,16.1,1298.0,88.2,5.0,5047.672462142456
2013,65000,0,0,2,11.8,2993.0,180.0,7.0,38137.96971396523
2012,120000,0,1,3,12.8,2494.0,102.0,7.0,13460.45989904655
2015,14000,0,1,3,28.4,1248.0,74.0,5.0,5888.9512058328655
2014,57456,0,0,3,17.68,1968.0,174.33,5.0,24183.9596186203
2012,44450,0,0,3,22.48,1995.0,190.0,5.0,27683.679192372405
2013,63777,1,1,3,18.5,1197.0,82.9,5.0,4116.65731912507
2016,31000,0,0,3,17.05,1995.0,190.0,5.0,33090.29725182277
2012,60000,1,1,3,17.6,1496.0,88.73,5.0,3477.2854739203585
2015,78008,0,1,3,17.0,1405.0,70.0,5.0,3252.944475602916
2014,33000,0,0,2,0.0,2987.0,165.0,5.0,48233.314638250136
2009,27078,1,0,3,10.98,1984.0,114.4,4.0,17891.19461581604
2011,57275,0,1,3,19.7,1598.0,103.6,5.0,5047.672462142456
2014,45000,0,1,3,24.0,1120.0,70.0,5.0,3914.7504206393714
2014,57319,0,1,3,25.2,1248.0,74.0,5.0,4767.246214245653
2008,121097,0,1,2,24.0,1396.0,88.76,5.0,2131.2394840157035
2011,89000,0,0,3,16.73,1995.0,218.0,5.0,18586.651710600112
2012,72000,1,1,3,17.0,1497.0,118.0,5.0,6449.803701626472
2013,36000,0,0,2,16.55,1968.0,147.51,5.0,15703.869882220975
2013,86000,0,1,2,19.5,1248.0,75.0,5.0,2804.2624789680312
2002,85000,1,1,3,13.0,1343.0,90.0,5.0,1346.045989904655
2013,37613,0,0,3,22.69,1995.0,190.0,5.0,15647.784632641615
2007,100000,1,1,3,16.6,1388.0,68.0,5.0,1794.72798653954
2016,5240,1,0,3,21.9,624.0,37.48,4.0,4038.137969713965
2019,16862,1,1,3,20.89,1197.0,81.8,5.0,6797.532249018508
2013,59254,1,1,2,17.5,1298.0,85.8,5.0,5933.819405496354
2014,60000,0,1,3,22.7,1498.0,89.84,5.0,6449.803701626472
2015,50295,1,1,3,16.1,1248.0,74.0,5.0,6505.888951205832
2014,47674,1,1,3,19.1,1197.0,85.8,5.0,6416.152551878856
2014,61517,1,0,3,16.95,1197.0,78.9,5.0,4924.284913067862
2016,62946,0,1,3,15.1,2179.0,140.0,7.0,12394.840157038698
2015,66823,0,1,2,22.54,1396.0,88.73,5.0,5417.835109366236
2012,107000,0,1,2,21.27,1396.0,88.76,5.0,5047.672462142456
2011,55000,0,0,2,16.46,2993.0,258.0,5.0,21873.247335950644
2017,24000,1,0,3,14.3,1598.0,103.52,5.0,9814.91867638811
2016,20002,0,0,3,14.75,2967.0,245.0,7.0,75154.23443634323
2016,54317,1,1,3,17.4,1497.0,117.3,5.0,9422.321929332586
2016,10200,1,1,3,19.1,1197.0,82.0,5.0,5597.307908020191
2016,24337,0,1,3,26.0,1498.0,98.6,5.0,9175.546831183397
2012,79000,1,1,3,18.4,1198.0,86.8,5.0,3252.944475602916
2015,40500,0,1,3,28.09,1248.0,88.5,5.0,7964.105440269209
2016,23000,0,1,3,26.59,1248.0,74.0,5.0,7908.020190689848
2015,63050,1,0,3,11.1,2354.0,158.8,5.0,19629.83735277622
2008,78000,1,0,2,14.53,1794.0,138.1,5.0,3825.0140213123946
2012,66245,1,1,3,17.0,1497.0,118.0,5.0,6371.284352215367
2007,74112,0,1,3,12.05,2179.0,120.0,9.0,4598.990465507571
2011,87670,1,1,3,13.4,1798.0,157.8,5.0,4486.81996634885
2015,10000,0,0,3,18.88,1995.0,184.0,5.0,33651.14974761637
2007,62493,1,1,3,15.0,1586.0,104.68,5.0,2019.0689848569825
2015,44620,1,1,3,20.73,1373.0,91.1,5.0,7773.415591699382
2012,66538,0,0,3,10.2,4367.0,308.0,7.0,78519.34941110488
2013,60000,0,1,3,12.99,2494.0,100.0,7.0,8861.46943353898
2011,20842,1,1,3,0.0,1086.0,62.0,5.0,3118.3398766124506
2014,110000,0,0,3,13.01,2199.0,194.3,7.0,16152.55187885586
2011,45000,1,0,2,11.74,1796.0,186.0,5.0,15143.01738642737
2012,49008,1,1,3,19.7,796.0,46.3,5.0,3230.5103757711718
2016,31000,1,1,3,24.7,796.0,47.3,5.0,2411.665731912507
2013,8000,1,1,3,16.95,1498.0,97.7,5.0,4206.393718452046
2019,171,1,1,3,24.7,796.0,47.3,5.0,4038.137969713965
2018,2100,1,1,3,24.07,998.0,67.1,5.0,4038.137969713965
2018,20667,1,0,3,18.9,1197.0,81.86,5.0,8468.872686483453
2015,50000,0,1,3,24.2,1498.0,98.6,7.0,5272.013460459899
2010,100030,0,1,2,18.8,1248.0,90.0,5.0,1794.72798653954
2011,75372,0,1,3,16.52,1991.0,123.7,5.0,3746.4946719012896
2016,60475,1,0,3,18.0,1497.0,117.3,5.0,10207.515423443634
2019,18453,1,1,3,18.9,1197.0,81.86,5.0,6920.919798093101
2008,96578,0,1,3,22.0,1582.0,126.2,5.0,2804.2624789680312
2016,31001,1,1,3,18.44,1198.0,75.0,5.0,3365.1149747616373
2012,65900,0,1,3,22.32,1582.0,126.32,5.0,6449.803701626472
2017,26246,1,1,3,15.29,1591.0,121.3,5.0,12058.328659562534
2013,62700,1,1,2,20.51,998.0,67.04,5.0,3196.8592260235555
2008,90000,1,0,3,10.2,2354.0,180.0,5.0,7291.082445316882
2016,36000,1,0,3,16.8,1497.0,118.0,5.0,10600.112170499156
2016,46000,0,1,3,27.39,1248.0,74.0,5.0,7571.508693213685
2017,73003,0,1,3,26.0,1498.0,98.6,5.0,8693.213684800898
2014,46566,0,1,3,22.54,1396.0,88.76,5.0,4935.501962983735
2015,41493,0,0,3,13.0,2987.0,265.0,5.0,47111.609646662924
2014,103788,0,1,3,19.01,1461.0,108.5,5.0,6360.067302299495
2016,45000,0,0,3,19.6,1461.0,108.45,5.0,12899.607403252943
2009,120000,1,1,3,18.9,998.0,67.1,5.0,1895.6814357823891
2009,97359,0,1,2,17.1,1493.0,110.0,5.0,2019.0689848569825
2016,62000,1,1,3,18.5,1197.0,85.8,5.0,3589.45597307908
2004,115000,1,1,2,0.0,1497.0,117.3,5.0,1682.5574873808187
2019,18373,0,0,3,22.48,1995.0,187.74,5.0,51441.390914189564
2016,60453,1,1,3,16.47,1198.0,74.0,5.0,5720.695457094783
2010,69009,1,1,2,15.6,1196.0,70.0,5.0,2692.09197980931
2013,30000,0,0,3,18.88,1995.0,184.0,5.0,24677.509814918674
2012,70707,0,1,3,22.32,1582.0,126.32,5.0,4800.897363993269
2015,64677,0,1,3,20.45,1461.0,83.8,5.0,6360.067302299495
2018,3000,1,0,3,18.9,1197.0,81.86,5.0,6954.570947840717
2013,49000,0,0,2,17.05,1995.0,184.0,5.0,16253.505328098709
2010,71000,0,1,3,21.1,1248.0,73.9,5.0,3365.1149747616373
2010,52000,1,1,2,19.81,1086.0,68.05,5.0,2523.836231071228
2016,35659,0,0,3,15.97,2993.0,258.0,7.0,49108.244531688164
2019,5377,1,1,3,16.8,1497.0,116.3,5.0,12843.522153673583
2014,65000,0,0,3,11.18,2696.0,184.0,7.0,11777.902411665731
2015,92708,0,1,3,22.7,1498.0,89.84,5.0,8390.353337072349
2010,48105,1,1,3,19.7,796.0,46.3,5.0,3477.2854739203585
2011,46759,1,1,3,16.47,1198.0,74.0,5.0,2860.3477285473914
2013,62000,0,1,3,22.07,1199.0,73.9,5.0,3925.967470555244
2012,35175,0,1,3,22.07,1199.0,73.9,5.0,2905.2159282108805
2013,70000,0,1,3,20.77,1248.0,88.8,7.0,6113.292204150308
2017,30000,0,1,3,22.77,1498.0,98.59,5.0,6730.229949523275
2016,66618,0,0,3,11.36,2755.0,171.5,7.0,17375.21031968592
2010,69300,1,0,2,10.8,2497.0,150.0,5.0,14021.312394840155
2017,148000,0,1,3,23.4,1248.0,74.0,5.0,5328.0987100392595
2017,22000,1,1,3,18.88,999.0,123.24,5.0,8805.384183959619
2013,75000,0,1,3,16.8,1493.0,110.0,5.0,6730.229949523275
2016,43706,1,1,3,17.57,1193.0,88.7,5.0,4486.81996634885
2011,42000,0,0,3,14.4,2967.0,241.4,5.0,32249.018508132358
2012,65000,0,1,3,22.3,1248.0,74.0,5.0,2804.2624789680312
2015,76128,0,1,3,26.59,1248.0,74.0,5.0,6169.377453729669
2010,39852,1,1,3,16.0,1368.0,90.0,5.0,1783.510936623668
2017,18673,1,1,3,18.6,1197.0,81.83,5.0,6977.005047672462
2016,11583,1,1,3,21.1,814.0,55.2,5.0,3084.6887268648343
2017,50000,0,0,3,17.9,2143.0,136.0,5.0,28042.62478968031
2014,77000,1,1,3,23.1,998.0,67.04,5.0,3140.773976444195
2014,54890,1,1,2,17.8,1199.0,76.8,5.0,2748.177229388671
2016,21000,1,0,3,19.0,1199.0,88.7,5.0,7122.826696578799
2009,58557,0,0,1,16.07,1995.0,181.0,5.0,8973.6399326977
2014,70000,0,1,3,19.01,1461.0,108.45,5.0,9254.066180594504
2017,16000,1,0,3,17.01,1499.0,110.4,5.0,6674.144699943914
2018,8899,0,1,3,13.68,2393.0,147.8,7.0,22344.363432417274
2016,83629,0,1,3,25.44,936.0,56.3,5.0,3533.370723499719
2014,35059,1,0,3,17.21,1798.0,189.0,4.0,6449.803701626472
2018,30552,0,0,3,10.91,3198.0,197.2,7.0,36388.10992708917
2016,44875,0,0,2,22.32,1582.0,126.32,5.0,8984.856982613572
2017,25095,1,1,3,18.16,1196.0,86.8,5.0,7268.648345485137
2007,59000,1,1,3,16.1,796.0,37.0,4.0,841.2787436904093
2014,36000,0,1,3,26.0,1498.0,98.6,5.0,5608.5249579360625
2012,37000,0,1,3,16.0,2179.0,140.0,7.0,8693.213684800898
2010,90000,0,1,3,20.0,1399.0,68.0,5.0,2916.4329781267525
2018,17000,1,1,3,17.0,1497.0,121.36,5.0,10319.685922602353
2015,42575,1,1,3,18.6,1197.0,81.83,5.0,5664.610207515423
2012,131000,0,1,3,12.99,2494.0,100.0,7.0,10768.36791923724
2013,74000,0,1,3,20.46,1461.0,83.8,5.0,6169.377453729669
2013,47234,0,1,3,12.99,2494.0,100.6,8.0,10487.941671340437
2016,10000,1,1,3,24.07,998.0,67.1,5.0,3925.967470555244
2016,49389,1,1,3,19.49,1198.0,67.04,5.0,4778.463264161525
2016,12000,1,0,2,23.1,998.0,67.04,5.0,4767.246214245653
2010,65000,1,1,2,11.7,1796.0,178.0,5.0,13180.033651149746
2015,89000,1,1,3,17.01,1591.0,121.3,5.0,8412.787436904093
2009,72000,1,0,1,15.0,1396.0,100.0,5.0,3645.541222658441
2012,49000,1,1,3,17.5,1298.0,85.8,5.0,5496.354458777342
2014,51355,0,0,3,14.84,2143.0,170.0,5.0,30286.03477285474
2017,13460,1,1,3,18.6,1197.0,81.86,5.0,9994.391475042063
2014,35642,1,0,3,17.01,1591.0,121.4,5.0,7504.206393718451
2014,52895,0,1,3,17.3,1998.0,163.7,5.0,6752.664049355019
2010,93000,1,1,3,14.28,1798.0,138.03,5.0,5047.672462142456
2011,70000,1,1,3,19.0,998.0,66.1,5.0,2243.409983174425
2012,32048,0,1,3,23.08,1461.0,63.1,5.0,2692.09197980931
2013,4700,1,1,3,25.4,624.0,37.48,4.0,1346.045989904655
2014,71800,0,1,3,23.4,1248.0,74.0,5.0,3252.944475602916
2008,69078,1,1,3,0.0,2179.0,187.7,5.0,45855.30005608525
2016,45000,0,0,3,17.32,1968.0,184.0,5.0,30286.03477285474
2016,15388,0,1,3,25.8,1498.0,98.6,5.0,8412.787436904093
2004,98798,1,1,3,14.7,1599.0,104.0,5.0,1682.5574873808187
2016,43000,0,0,3,14.16,1968.0,174.3,5.0,44307.34716769489
2012,85112,0,1,3,23.2,1248.0,73.94,5.0,3802.5799214806502
2018,37804,0,1,3,15.4,2179.0,120.0,7.0,13909.141895681434
2014,45000,0,1,3,28.09,1248.0,88.5,5.0,7683.679192372406
2011,116000,0,1,2,21.43,1364.0,138.0,5.0,6449.803701626472
2015,100073,0,1,2,25.0,1396.0,69.0,5.0,2243.409983174425
2015,22000,1,1,3,16.47,1198.0,74.0,5.0,4262.478968031407
2017,9500,1,0,3,14.62,1999.0,149.92,5.0,18339.876612450927
2019,17705,1,1,3,21.4,1197.0,83.1,5.0,9758.833426808747
2016,12000,1,1,3,21.4,1197.0,83.1,5.0,6842.400448681996
2013,51000,0,0,3,23.8,1998.0,112.0,5.0,24610.20751542344
2009,42000,0,0,2,13.0,2987.0,210.0,5.0,24677.509814918674
2015,51000,1,1,3,20.92,998.0,67.1,5.0,2972.518227706113
2017,42527,1,1,3,20.4,1197.0,81.8,5.0,5911.385305664609
2014,45000,0,1,3,22.1,1248.0,74.0,5.0,2781.828379136287
2011,70000,0,1,3,12.8,2494.0,102.0,8.0,6730.229949523275
2009,92000,0,1,3,11.5,2982.0,171.0,7.0,9983.174425126192
2012,57156,0,0,2,18.88,1995.0,184.0,5.0,20190.689848569826
2016,53211,1,1,3,16.8,1395.0,138.02,5.0,13056.646102075154
2019,80000,0,1,3,11.5,2982.0,171.0,7.0,10084.12787436904
2009,74000,0,0,3,15.5,1896.0,105.0,5.0,5888.9512058328655
2011,37000,0,1,3,23.0,1396.0,90.0,5.0,3309.0297251822767
2013,64000,0,1,2,21.02,1248.0,88.76,5.0,2972.518227706113
2013,57197,1,1,3,15.04,1598.0,103.6,5.0,4486.81996634885
2016,55000,0,0,3,17.6,1582.0,126.2,5.0,14021.312394840155
2014,33000,1,1,3,21.1,1197.0,85.8,5.0,3645.541222658441
2008,70000,1,1,3,13.1,1997.0,141.1,5.0,4486.81996634885
2012,75000,0,1,2,15.1,2179.0,140.0,7.0,7010.656197420078
2016,58095,0,1,3,21.66,1498.0,108.62,5.0,6505.888951205832
2015,7445,1,1,3,17.57,1193.0,88.7,5.0,5608.5249579360625
2016,17652,0,0,3,12.9,2993.0,270.88,5.0,65877.73415591699
2018,28321,1,0,3,14.28,1798.0,138.03,5.0,19618.620302860345
2011,69000,1,1,2,19.0,998.0,66.1,5.0,2187.3247335950646
2007,80000,1,0,3,11.1,2354.0,142.0,5.0,3365.1149747616373
2014,42365,1,1,3,17.0,1197.0,80.0,5.0,6169.377453729669
2013,123000,0,0,3,12.55,2982.0,168.5,7.0,18508.132361189007
2011,40000,1,0,2,11.74,1796.0,186.0,5.0,16264.722378014581
2016,30112,0,1,3,27.39,1248.0,74.0,5.0,8738.081884464385
2017,43775,0,1,3,20.77,1248.0,88.76,7.0,9276.500280426248
2019,26013,0,0,3,12.65,2993.0,255.0,5.0,108883.90353337071
2012,56000,1,1,3,12.9,1598.0,102.5,5.0,2411.665731912507
2008,95000,1,0,2,12.9,1799.0,130.0,5.0,3365.1149747616373
2014,41089,0,0,3,16.09,1995.0,184.0,5.0,32293.88670779585
2011,41988,0,0,3,20.0,1968.0,138.1,5.0,6113.292204150308
